Cliente;Data;Id;Valor_liquido;Valor_total;Descricao
Becap;11/06/2025;jzuhuH65emHf;R$1,178.71;R$1,255.95;Franquia - R$1245.84 WhatsApp - Becap(551126324800) 19 UTILITY - R$1.14 WhatsApp - Becap(551126324800) 23 MARKETING - R$8.97
Kempinski Laje de Pedra;11/06/2025;bcXqotpEJ1OG;R$3,428.54;R$3,653.21;Franquia - R$2455.25 Addon Marketing Studio - 2469 - R$296.28 WhatsApp - Kempinski Laje de Pedra(555491867299) 2308 MARKETING - R$900.12 WhatsApp - Kempinski Laje de Pedra(555491867299) 26 UTILITY - R$1.56
Leme Forense;11/06/2025;77DE5WiynoT2;R$2,251.01;R$2,398.52;Franquia - R$2300.00 WhatsApp - Leme Forense(554135122273) 250 MARKETING - R$97.50 WhatsApp - Leme Forense(554135122273) 17 UTILITY - R$1.02
Motoasa Consórcios;11/06/2025;zUZgrE7O7d7p;R$2,155.35;R$2,296.59;Franquia - R$2148.30 WhatsApp - Motoasa Consórcios(5516991285889) 373 MARKETING - R$145.47 WhatsApp - Motoasa Consórcios(5516991285889) 47 UTILITY - R$2.82
NETSOFAS;11/06/2025;148eQzJDnvu4;R$5,930.48;R$6,319.11;Plano Advanced - R$1690.00 Franquia - R$4160.00 Addon Marketing Studio - 1012 - R$121.44 WhatsApp - NETSOFAS(551935753066) 237 UTILITY - R$14.22 WhatsApp - NETSOFAS(551935753066) 855 MARKETING - R$333.45
Senac Bahia;11/06/2025;saw7KMzOIMeg;R$15,251.46;R$16,250.89;Franquia - R$14362.00 WhatsApp - Senac Bahia(557131864000) 652 UTILITY - R$39.12 WhatsApp - Senac Bahia(557131864000) 4743 MARKETING - R$1849.77
Grupo Sponchiado - Inovando desde 1929;11/06/2025;tTTY56FTjCHn;R$20,803.02;-;-
Sun House;11/06/2025;f0eYvRpynwO7;R$1,327.37;R$1,414.35;Franquia - R$1380.00 Addon Marketing Studio - 21 - R$2.52 WhatsApp - Sun House(5511994877664) 82 UTILITY - R$4.92 WhatsApp - Sun House(5511994877664) 69 MARKETING - R$26.91
Tiffany & Co;11/06/2025;2B7WncHBwR0F;R$18,012.90;R$19,193.29;DAU Extra - R$1086.30 Plano Advanced - R$1690.00 Franquia - R$1176.00 Addon Marketing Studio - 30108 - R$3612.96 WhatsApp - Tiffany & Co(5511988707910) 29813 MARKETING - R$11627.07 WhatsApp - Tiffany & Co(5511988707910) 16 UTILITY - R$0.96
Vestida pela Bia;11/06/2025;MFxKDG6ba08c;R$3,304.98;R$3,355.31;MAU Extra - R$676.02 Franquia - R$2397.98 WhatsApp - Vestida pela Bia(5511973343322) 1328 UTILITY - R$79.68 WhatsApp - Vestida pela Bia(5511973343322) 517 MARKETING - R$201.63
Viper Pro Gamer;11/06/2025;88nnATkvbnfG;R$2,158.55;R$2,300.00;Franquia - R$2300.00
Becap;11/06/2025;jzuhuH65emHf;R$1,178.71;R$1,255.95;Franquia - R$1245.84 WhatsApp - Becap(551126324800) 19 UTILITY - R$1.14 WhatsApp - Becap(551126324800) 23 MARKETING - R$8.97
Kempinski Laje de Pedra;11/06/2025;bcXqotpEJ1OG;R$3,428.54;R$3,653.21;Franquia - R$2455.25 Addon Marketing Studio - 2469 - R$296.28 WhatsApp - Kempinski Laje de Pedra(555491867299) 2308 MARKETING - R$900.12 WhatsApp - Kempinski Laje de Pedra(555491867299) 26 UTILITY - R$1.56
Leme Forense;11/06/2025;77DE5WiynoT2;R$2,251.01;R$2,398.52;Franquia - R$2300.00 WhatsApp - Leme Forense(554135122273) 250 MARKETING - R$97.50 WhatsApp - Leme Forense(554135122273) 17 UTILITY - R$1.02
